beta-box [3.0000, 3.0010]: 21 t-boxes
beta-box [3.5370, 3.5380]: 32 t-boxes
beta-box [3.5380, 3.5390]: 32 t-boxes
beta-box [3.5390, 3.5400]: 32 t-boxes
beta-box [3.5400, 3.5410]: 32 t-boxes
beta-box [3.5410, 3.5420]: 32 t-boxes
beta-box [3.5420, 3.5430]: 32 t-boxes
beta-box [3.5430, 3.5440]: 32 t-boxes
beta-box [3.5440, 3.5450]: 32 t-boxes
beta-box [3.5450, 3.5460]: 32 t-boxes
beta-box [3.5460, 3.5470]: 32 t-boxes
beta-box [3.5470, 3.5480]: 32 t-boxes
beta-box [3.5480, 3.5490]: 32 t-boxes
beta-box [3.5490, 3.5500]: 32 t-boxes
beta-box [3.5500, 3.5510]: 32 t-boxes
beta-box [3.5510, 3.5520]: 32 t-boxes
beta-box [3.5520, 3.5530]: 32 t-boxes
beta-box [3.5530, 3.5540]: 32 t-boxes
beta-box [3.5540, 3.5550]: 32 t-boxes
beta-box [3.5550, 3.5560]: 32 t-boxes
beta-box [3.5560, 3.5570]: 32 t-boxes
beta-box [3.5570, 3.5580]: 32 t-boxes
beta-box [3.5580, 3.5590]: 32 t-boxes
beta-box [3.5590, 3.5600]: 32 t-boxes
beta-box [3.5600, 3.5610]: 32 t-boxes
beta-box [3.5610, 3.5620]: 32 t-boxes
beta-box [3.5620, 3.5630]: 33 t-boxes
beta-box [3.5630, 3.5640]: 33 t-boxes
beta-box [3.5640, 3.5650]: 33 t-boxes
beta-box [3.5650, 3.5660]: 33 t-boxes
beta-box [3.5660, 3.5670]: 33 t-boxes
beta-box [3.5670, 3.5680]: 33 t-boxes
beta-box [3.5680, 3.5690]: 33 t-boxes
beta-box [3.5690, 3.5700]: 33 t-boxes
beta-box [3.5700, 3.5710]: 33 t-boxes
beta-box [3.5710, 3.5720]: 33 t-boxes
beta-box [3.5720, 3.5730]: 33 t-boxes
beta-box [3.5730, 3.5740]: 33 t-boxes
beta-box [3.5740, 3.5750]: 33 t-boxes
beta-box [3.5750, 3.5760]: 34 t-boxes
beta-box [3.5760, 3.5770]: 34 t-boxes
beta-box [3.5770, 3.5780]: 34 t-boxes
beta-box [3.5780, 3.5790]: 34 t-boxes
beta-box [3.5790, 3.5800]: 34 t-boxes
beta-box [3.5800, 3.5810]: 34 t-boxes
beta-box [3.5810, 3.5820]: 34 t-boxes
beta-box [3.5820, 3.5830]: 34 t-boxes
beta-box [3.5830, 3.5840]: 34 t-boxes
beta-box [3.5840, 3.5850]: 34 t-boxes
beta-box [3.5850, 3.5860]: 34 t-boxes
beta-box [3.5860, 3.5870]: 34 t-boxes
beta-box [3.5870, 3.5880]: 34 t-boxes
beta-box [3.5880, 3.5890]: 34 t-boxes
beta-box [3.5890, 3.5900]: 34 t-boxes
beta-box [3.5900, 3.5910]: 34 t-boxes
beta-box [3.5910, 3.5920]: 34 t-boxes
beta-box [3.5920, 3.5930]: 34 t-boxes
beta-box [3.5930, 3.5940]: 34 t-boxes
beta-box [3.5940, 3.5950]: 34 t-boxes
beta-box [3.5950, 3.5960]: 34 t-boxes
beta-box [3.5960, 3.5970]: 34 t-boxes
beta-box [3.5970, 3.5980]: 34 t-boxes
beta-box [3.5980, 3.5990]: 34 t-boxes
beta-box [3.5990, 3.6000]: 34 t-boxes
beta-box [3.6000, 3.6010]: 34 t-boxes
beta-box [3.6010, 3.6020]: 34 t-boxes
beta-box [3.6020, 3.6030]: 34 t-boxes
beta-box [3.6030, 3.6040]: 34 t-boxes
beta-box [3.6040, 3.6050]: 34 t-boxes
beta-box [3.6050, 3.6060]: 34 t-boxes
beta-box [3.6060, 3.6070]: 34 t-boxes
beta-box [3.6070, 3.6080]: 34 t-boxes
beta-box [3.6080, 3.6090]: 34 t-boxes
beta-box [3.6090, 3.6100]: 34 t-boxes
beta-box [3.6100, 3.6110]: 34 t-boxes
beta-box [3.6110, 3.6120]: 34 t-boxes
beta-box [3.6120, 3.6130]: 34 t-boxes
beta-box [3.6130, 3.6140]: 34 t-boxes
beta-box [3.6140, 3.6150]: 34 t-boxes
beta-box [3.6150, 3.6160]: 34 t-boxes
beta-box [3.6160, 3.6170]: 34 t-boxes
beta-box [3.6170, 3.6180]: 34 t-boxes
beta-box [3.6180, 3.6190]: 34 t-boxes
beta-box [3.6190, 3.6200]: 34 t-boxes
beta-box [3.6200, 3.6210]: 34 t-boxes
beta-box [3.6210, 3.6220]: 34 t-boxes
beta-box [3.6220, 3.6230]: 34 t-boxes
beta-box [3.6230, 3.6240]: 34 t-boxes
beta-box [3.6240, 3.6250]: 34 t-boxes
beta-box [3.6250, 3.6260]: 34 t-boxes
beta-box [3.6260, 3.6270]: 34 t-boxes
beta-box [3.6270, 3.6280]: 34 t-boxes
beta-box [3.6280, 3.6290]: 34 t-boxes
beta-box [3.6290, 3.6300]: 34 t-boxes
beta-box [3.6300, 3.6310]: 34 t-boxes
beta-box [3.6310, 3.6320]: 34 t-boxes
beta-box [3.6320, 3.6330]: 34 t-boxes
beta-box [3.6330, 3.6340]: 34 t-boxes
beta-box [3.6340, 3.6350]: 34 t-boxes
beta-box [3.6350, 3.6360]: 34 t-boxes
beta-box [3.6360, 3.6370]: 34 t-boxes
beta-box [3.6370, 3.6380]: 34 t-boxes
beta-box [3.6380, 3.6390]: 34 t-boxes
beta-box [3.6390, 3.6400]: 34 t-boxes
beta-box [3.6400, 3.6410]: 34 t-boxes
beta-box [3.6410, 3.6420]: 34 t-boxes
beta-box [3.6420, 3.6430]: 34 t-boxes
beta-box [3.6430, 3.6440]: 34 t-boxes
beta-box [3.6440, 3.6450]: 34 t-boxes
beta-box [3.6450, 3.6460]: 34 t-boxes
beta-box [3.6460, 3.6470]: 34 t-boxes
beta-box [3.6470, 3.6480]: 34 t-boxes
beta-box [3.6480, 3.6490]: 34 t-boxes
beta-box [3.6490, 3.6500]: 34 t-boxes
beta-box [3.6500, 3.6510]: 34 t-boxes
beta-box [3.6510, 3.6520]: 34 t-boxes
beta-box [3.6520, 3.6530]: 34 t-boxes
beta-box [3.6530, 3.6540]: 34 t-boxes
beta-box [3.6540, 3.6550]: 34 t-boxes
beta-box [3.6550, 3.6560]: 34 t-boxes
beta-box [3.6560, 3.6570]: 34 t-boxes
beta-box [3.6570, 3.6580]: 34 t-boxes
beta-box [3.6580, 3.6590]: 34 t-boxes
beta-box [3.6590, 3.6600]: 34 t-boxes
beta-box [3.6600, 3.6610]: 34 t-boxes
beta-box [3.6610, 3.6620]: 34 t-boxes
beta-box [3.6620, 3.6630]: 34 t-boxes
beta-box [3.6630, 3.6640]: 34 t-boxes
beta-box [3.6640, 3.6650]: 34 t-boxes
beta-box [3.6650, 3.6660]: 34 t-boxes
beta-box [3.6660, 3.6670]: 34 t-boxes
beta-box [3.6670, 3.6680]: 34 t-boxes
beta-box [3.6680, 3.6690]: 34 t-boxes
beta-box [3.6690, 3.6700]: 34 t-boxes
beta-box [3.6700, 3.6710]: 34 t-boxes
beta-box [3.6710, 3.6720]: 34 t-boxes
beta-box [3.6720, 3.6730]: 34 t-boxes
beta-box [3.6730, 3.6740]: 34 t-boxes
beta-box [3.6740, 3.6750]: 35 t-boxes
beta-box [3.6750, 3.6760]: 35 t-boxes
beta-box [3.6760, 3.6770]: 35 t-boxes
beta-box [3.6770, 3.6780]: 35 t-boxes
beta-box [3.6780, 3.6790]: 35 t-boxes
beta-box [3.6790, 3.6800]: 35 t-boxes
beta-box [3.6800, 3.6810]: 35 t-boxes
beta-box [3.6810, 3.6820]: 35 t-boxes
beta-box [3.6820, 3.6830]: 35 t-boxes
beta-box [3.6830, 3.6840]: 35 t-boxes
beta-box [3.6840, 3.6850]: 35 t-boxes
beta-box [3.6850, 3.6860]: 35 t-boxes
beta-box [3.6860, 3.6870]: 36 t-boxes
beta-box [3.6870, 3.6880]: 36 t-boxes
beta-box [3.6880, 3.6890]: 36 t-boxes
beta-box [3.6890, 3.6900]: 36 t-boxes
beta-box [3.6900, 3.6910]: 36 t-boxes
beta-box [3.6910, 3.6920]: 36 t-boxes
beta-box [3.6920, 3.6930]: 36 t-boxes
beta-box [3.6930, 3.6940]: 36 t-boxes
beta-box [3.6940, 3.6950]: 36 t-boxes
beta-box [3.6950, 3.6960]: 36 t-boxes
beta-box [3.6960, 3.6970]: 36 t-boxes
beta-box [3.6970, 3.6980]: 36 t-boxes
beta-box [3.6980, 3.6990]: 36 t-boxes
beta-box [3.6990, 3.7000]: 36 t-boxes
beta-box [3.7000, 3.7010]: 36 t-boxes
beta-box [3.7010, 3.7020]: 36 t-boxes
beta-box [3.7020, 3.7030]: 36 t-boxes
beta-box [3.7030, 3.7040]: 36 t-boxes
beta-box [3.7040, 3.7050]: 36 t-boxes
beta-box [3.7050, 3.7060]: 36 t-boxes
beta-box [3.7060, 3.7070]: 36 t-boxes
beta-box [3.7070, 3.7080]: 36 t-boxes
beta-box [3.7080, 3.7090]: 36 t-boxes
beta-box [3.7090, 3.7100]: 36 t-boxes
beta-box [3.7100, 3.7110]: 36 t-boxes
beta-box [3.7110, 3.7120]: 36 t-boxes
beta-box [3.7120, 3.7130]: 36 t-boxes
beta-box [3.7130, 3.7140]: 36 t-boxes
beta-box [3.7140, 3.7150]: 36 t-boxes
beta-box [3.7150, 3.7160]: 36 t-boxes
beta-box [3.7160, 3.7170]: 36 t-boxes
beta-box [3.7170, 3.7180]: 36 t-boxes
beta-box [3.7180, 3.7190]: 36 t-boxes
beta-box [3.7190, 3.7200]: 36 t-boxes
beta-box [3.7200, 3.7210]: 36 t-boxes
beta-box [3.7210, 3.7220]: 36 t-boxes
beta-box [3.7220, 3.7230]: 36 t-boxes
beta-box [3.7230, 3.7240]: 36 t-boxes
beta-box [3.7240, 3.7250]: 36 t-boxes
beta-box [3.7250, 3.7260]: 36 t-boxes
beta-box [3.7260, 3.7270]: 36 t-boxes
beta-box [3.7270, 3.7280]: 36 t-boxes
beta-box [3.7280, 3.7290]: 36 t-boxes
beta-box [3.7290, 3.7300]: 36 t-boxes
beta-box [3.7300, 3.7310]: 36 t-boxes
beta-box [3.7310, 3.7320]: 36 t-boxes
beta-box [3.7320, 3.7330]: 36 t-boxes
beta-box [3.7330, 3.7340]: 37 t-boxes
beta-box [3.7340, 3.7350]: 37 t-boxes
beta-box [3.7350, 3.7360]: 37 t-boxes
beta-box [3.7360, 3.7370]: 37 t-boxes
beta-box [3.7370, 3.7380]: 37 t-boxes
beta-box [3.7380, 3.7390]: 37 t-boxes
beta-box [3.7390, 3.7400]: 37 t-boxes
beta-box [3.7400, 3.7410]: 37 t-boxes
beta-box [3.7410, 3.7420]: 37 t-boxes
beta-box [3.7420, 3.7430]: 37 t-boxes
beta-box [3.7430, 3.7440]: 37 t-boxes
beta-box [3.7440, 3.7450]: 38 t-boxes
beta-box [3.7450, 3.7460]: 38 t-boxes
beta-box [3.7460, 3.7470]: 38 t-boxes
beta-box [3.7470, 3.7480]: 38 t-boxes
beta-box [3.7480, 3.7490]: 38 t-boxes
beta-box [3.7490, 3.7500]: 38 t-boxes
beta-box [3.7500, 3.7510]: 38 t-boxes
beta-box [3.7510, 3.7520]: 38 t-boxes
beta-box [3.7520, 3.7530]: 38 t-boxes
beta-box [3.7530, 3.7540]: 38 t-boxes
beta-box [3.7540, 3.7550]: 38 t-boxes
beta-box [3.7550, 3.7560]: 38 t-boxes
beta-box [3.7560, 3.7570]: 38 t-boxes
beta-box [3.7570, 3.7580]: 38 t-boxes
beta-box [3.7580, 3.7590]: 38 t-boxes
beta-box [3.7590, 3.7600]: 38 t-boxes
beta-box [3.7600, 3.7610]: 38 t-boxes
beta-box [3.7610, 3.7620]: 38 t-boxes
beta-box [3.7620, 3.7630]: 38 t-boxes
beta-box [3.7630, 3.7640]: 38 t-boxes
beta-box [3.7640, 3.7650]: 38 t-boxes
beta-box [3.7650, 3.7660]: 38 t-boxes
beta-box [3.7660, 3.7670]: 38 t-boxes
beta-box [3.7670, 3.7680]: 38 t-boxes
beta-box [3.7680, 3.7690]: 38 t-boxes
beta-box [3.7690, 3.7700]: 38 t-boxes
beta-box [3.7700, 3.7710]: 38 t-boxes
beta-box [3.7710, 3.7720]: 38 t-boxes
beta-box [3.7720, 3.7730]: 38 t-boxes
beta-box [3.7730, 3.7740]: 38 t-boxes
beta-box [3.7740, 3.7750]: 39 t-boxes
beta-box [3.7750, 3.7760]: 39 t-boxes
beta-box [3.7760, 3.7770]: 39 t-boxes
beta-box [3.7770, 3.7780]: 39 t-boxes
beta-box [3.7780, 3.7790]: 39 t-boxes
beta-box [3.7790, 3.7800]: 39 t-boxes
beta-box [3.7800, 3.7810]: 39 t-boxes
beta-box [3.7810, 3.7820]: 39 t-boxes
beta-box [3.7820, 3.7830]: 39 t-boxes
beta-box [3.7830, 3.7840]: 39 t-boxes
beta-box [3.7840, 3.7850]: 39 t-boxes
beta-box [3.7850, 3.7860]: 39 t-boxes
beta-box [3.7860, 3.7870]: 39 t-boxes
beta-box [3.7870, 3.7880]: 39 t-boxes
beta-box [3.7880, 3.7890]: 39 t-boxes
beta-box [3.7890, 3.7900]: 39 t-boxes
beta-box [3.7900, 3.7910]: 39 t-boxes
beta-box [3.7910, 3.7920]: 39 t-boxes
beta-box [3.7920, 3.7930]: 39 t-boxes
beta-box [3.7930, 3.7940]: 39 t-boxes
beta-box [3.7940, 3.7950]: 39 t-boxes
beta-box [3.7950, 3.7960]: 39 t-boxes
beta-box [3.7960, 3.7970]: 40 t-boxes
beta-box [3.7970, 3.7980]: 40 t-boxes
beta-box [3.7980, 3.7990]: 40 t-boxes
beta-box [3.7990, 3.8000]: 40 t-boxes
beta-box [3.8000, 3.8010]: 40 t-boxes
beta-box [3.8010, 3.8020]: 40 t-boxes
beta-box [3.8020, 3.8030]: 40 t-boxes
beta-box [3.8030, 3.8040]: 40 t-boxes
beta-box [3.8040, 3.8050]: 40 t-boxes
beta-box [3.8050, 3.8060]: 40 t-boxes
beta-box [3.8060, 3.8070]: 40 t-boxes
beta-box [3.8070, 3.8080]: 40 t-boxes
beta-box [3.8080, 3.8090]: 40 t-boxes
beta-box [3.8090, 3.8100]: 40 t-boxes
beta-box [3.8100, 3.8110]: 40 t-boxes
beta-box [3.8110, 3.8120]: 40 t-boxes
beta-box [3.8120, 3.8130]: 40 t-boxes
beta-box [3.8130, 3.8140]: 41 t-boxes
beta-box [3.8140, 3.8150]: 41 t-boxes
beta-box [3.8150, 3.8160]: 41 t-boxes
beta-box [3.8160, 3.8170]: 41 t-boxes
beta-box [3.8170, 3.8180]: 41 t-boxes
beta-box [3.8180, 3.8190]: 41 t-boxes
beta-box [3.8190, 3.8200]: 41 t-boxes
beta-box [3.8200, 3.8210]: 41 t-boxes
beta-box [3.8210, 3.8220]: 41 t-boxes
beta-box [3.8220, 3.8230]: 41 t-boxes
beta-box [3.8230, 3.8240]: 41 t-boxes
beta-box [3.8240, 3.8250]: 41 t-boxes
beta-box [3.8250, 3.8260]: 41 t-boxes
beta-box [3.8260, 3.8270]: 41 t-boxes
beta-box [3.8270, 3.8280]: 41 t-boxes
beta-box [3.8280, 3.8290]: 41 t-boxes
beta-box [3.8290, 3.8300]: 41 t-boxes
beta-box [3.8300, 3.8310]: 41 t-boxes
beta-box [3.8310, 3.8320]: 41 t-boxes
beta-box [3.8320, 3.8330]: 41 t-boxes
beta-box [3.8330, 3.8340]: 41 t-boxes
beta-box [3.8340, 3.8350]: 41 t-boxes
beta-box [3.8350, 3.8360]: 41 t-boxes
beta-box [3.8360, 3.8370]: 41 t-boxes
beta-box [3.8370, 3.8380]: 41 t-boxes
beta-box [3.8380, 3.8390]: 41 t-boxes
beta-box [3.8390, 3.8400]: 41 t-boxes
beta-box [3.8400, 3.8410]: 41 t-boxes
beta-box [3.8410, 3.8420]: 41 t-boxes
beta-box [3.8420, 3.8430]: 41 t-boxes
beta-box [3.8430, 3.8440]: 41 t-boxes
beta-box [3.8440, 3.8450]: 41 t-boxes
beta-box [3.8450, 3.8460]: 41 t-boxes
beta-box [3.8460, 3.8470]: 41 t-boxes
beta-box [3.8470, 3.8480]: 41 t-boxes
beta-box [3.8480, 3.8490]: 41 t-boxes
beta-box [3.8490, 3.8500]: 41 t-boxes
beta-box [3.8500, 3.8510]: 41 t-boxes
beta-box [3.8510, 3.8520]: 41 t-boxes
beta-box [3.8520, 3.8530]: 41 t-boxes
beta-box [3.8530, 3.8540]: 41 t-boxes
beta-box [3.8540, 3.8550]: 41 t-boxes
beta-box [3.8550, 3.8560]: 41 t-boxes
beta-box [3.8560, 3.8570]: 41 t-boxes
beta-box [3.8570, 3.8580]: 41 t-boxes
beta-box [3.8580, 3.8590]: 41 t-boxes
beta-box [3.8590, 3.8600]: 41 t-boxes
beta-box [3.8600, 3.8610]: 41 t-boxes
beta-box [3.8610, 3.8620]: 41 t-boxes
beta-box [3.8620, 3.8630]: 41 t-boxes
beta-box [3.8630, 3.8640]: 41 t-boxes
beta-box [3.8640, 3.8650]: 41 t-boxes
beta-box [3.8650, 3.8660]: 42 t-boxes
beta-box [3.8660, 3.8670]: 42 t-boxes
beta-box [3.8670, 3.8680]: 42 t-boxes
beta-box [3.8680, 3.8690]: 42 t-boxes
beta-box [3.8690, 3.8700]: 42 t-boxes
beta-box [3.8700, 3.8710]: 42 t-boxes
beta-box [3.8710, 3.8720]: 42 t-boxes
beta-box [3.8720, 3.8730]: 42 t-boxes
beta-box [3.8730, 3.8740]: 42 t-boxes
beta-box [3.8740, 3.8750]: 42 t-boxes
beta-box [3.8750, 3.8760]: 42 t-boxes
beta-box [3.8760, 3.8770]: 42 t-boxes
beta-box [3.8770, 3.8780]: 42 t-boxes
beta-box [3.8780, 3.8790]: 42 t-boxes
beta-box [3.8790, 3.8800]: 42 t-boxes
beta-box [3.8800, 3.8810]: 42 t-boxes
beta-box [3.8810, 3.8820]: 43 t-boxes
beta-box [3.8820, 3.8830]: 43 t-boxes
beta-box [3.8830, 3.8840]: 44 t-boxes
beta-box [3.8840, 3.8850]: 44 t-boxes
beta-box [3.8850, 3.8860]: 44 t-boxes
beta-box [3.8860, 3.8870]: 44 t-boxes
beta-box [3.8870, 3.8880]: 44 t-boxes
beta-box [3.8880, 3.8890]: 44 t-boxes
beta-box [3.8890, 3.8900]: 44 t-boxes
beta-box [3.8900, 3.8910]: 44 t-boxes
beta-box [3.8910, 3.8920]: 44 t-boxes
beta-box [3.8920, 3.8930]: 44 t-boxes
beta-box [3.8930, 3.8940]: 44 t-boxes
beta-box [3.8940, 3.8950]: 44 t-boxes
beta-box [3.8950, 3.8960]: 44 t-boxes
beta-box [3.8960, 3.8970]: 44 t-boxes
beta-box [3.8970, 3.8980]: 44 t-boxes
beta-box [3.8980, 3.8990]: 44 t-boxes
beta-box [3.8990, 3.9000]: 44 t-boxes
beta-box [3.9000, 3.9010]: 44 t-boxes
beta-box [3.9010, 3.9020]: 44 t-boxes
beta-box [3.9020, 3.9030]: 44 t-boxes
beta-box [3.9030, 3.9040]: 44 t-boxes
beta-box [3.9040, 3.9050]: 44 t-boxes
beta-box [3.9050, 3.9060]: 44 t-boxes
beta-box [3.9060, 3.9070]: 45 t-boxes
beta-box [3.9070, 3.9080]: 45 t-boxes
beta-box [3.9080, 3.9090]: 45 t-boxes
beta-box [3.9090, 3.9100]: 45 t-boxes
beta-box [3.9100, 3.9110]: 45 t-boxes
beta-box [3.9110, 3.9120]: 45 t-boxes
beta-box [3.9120, 3.9130]: 45 t-boxes
beta-box [3.9130, 3.9140]: 45 t-boxes
beta-box [3.9140, 3.9150]: 45 t-boxes
beta-box [3.9150, 3.9160]: 45 t-boxes
beta-box [3.9160, 3.9170]: 45 t-boxes
beta-box [3.9170, 3.9180]: 45 t-boxes
beta-box [3.9180, 3.9190]: 45 t-boxes
beta-box [3.9190, 3.9200]: 45 t-boxes
beta-box [3.9200, 3.9210]: 45 t-boxes
beta-box [3.9210, 3.9220]: 45 t-boxes
beta-box [3.9220, 3.9230]: 45 t-boxes
beta-box [3.9230, 3.9240]: 45 t-boxes
beta-box [3.9240, 3.9250]: 45 t-boxes
beta-box [3.9250, 3.9260]: 45 t-boxes
beta-box [3.9260, 3.9270]: 45 t-boxes
beta-box [3.9270, 3.9280]: 45 t-boxes
beta-box [3.9280, 3.9290]: 45 t-boxes
beta-box [3.9290, 3.9300]: 45 t-boxes
beta-box [3.9300, 3.9310]: 45 t-boxes
beta-box [3.9310, 3.9320]: 45 t-boxes
beta-box [3.9320, 3.9330]: 45 t-boxes
beta-box [3.9330, 3.9340]: 45 t-boxes
beta-box [3.9340, 3.9350]: 45 t-boxes
beta-box [3.9350, 3.9360]: 45 t-boxes
beta-box [3.9360, 3.9370]: 45 t-boxes
beta-box [3.9370, 3.9380]: 45 t-boxes
beta-box [3.9380, 3.9390]: 45 t-boxes
beta-box [3.9390, 3.9400]: 45 t-boxes
beta-box [3.9400, 3.9410]: 45 t-boxes
beta-box [3.9410, 3.9420]: 45 t-boxes
beta-box [3.9420, 3.9430]: 45 t-boxes
beta-box [3.9430, 3.9440]: 45 t-boxes
beta-box [3.9440, 3.9450]: 45 t-boxes
beta-box [3.9450, 3.9460]: 45 t-boxes
beta-box [3.9460, 3.9470]: 45 t-boxes
beta-box [3.9470, 3.9480]: 45 t-boxes
beta-box [3.9480, 3.9490]: 45 t-boxes
beta-box [3.9490, 3.9500]: 45 t-boxes
beta-box [3.9500, 3.9510]: 45 t-boxes
beta-box [3.9510, 3.9520]: 45 t-boxes
beta-box [3.9520, 3.9530]: 45 t-boxes
beta-box [3.9530, 3.9540]: 46 t-boxes
beta-box [3.9540, 3.9550]: 46 t-boxes
beta-box [3.9550, 3.9560]: 46 t-boxes
beta-box [3.9560, 3.9570]: 46 t-boxes
beta-box [3.9570, 3.9580]: 46 t-boxes
beta-box [3.9580, 3.9590]: 46 t-boxes
beta-box [3.9590, 3.9600]: 46 t-boxes
beta-box [3.9600, 3.9610]: 46 t-boxes
beta-box [3.9610, 3.9620]: 46 t-boxes
beta-box [3.9620, 3.9630]: 46 t-boxes
beta-box [3.9630, 3.9640]: 46 t-boxes
beta-box [3.9640, 3.9650]: 46 t-boxes
beta-box [3.9650, 3.9660]: 46 t-boxes
beta-box [3.9660, 3.9670]: 46 t-boxes
beta-box [3.9670, 3.9680]: 46 t-boxes
beta-box [3.9680, 3.9690]: 46 t-boxes
beta-box [3.9690, 3.9700]: 46 t-boxes
beta-box [3.9700, 3.9710]: 46 t-boxes
beta-box [3.9710, 3.9720]: 46 t-boxes
beta-box [3.9720, 3.9730]: 46 t-boxes
beta-box [3.9730, 3.9740]: 46 t-boxes
beta-box [3.9740, 3.9750]: 46 t-boxes
beta-box [3.9750, 3.9760]: 46 t-boxes
beta-box [3.9760, 3.9770]: 46 t-boxes
beta-box [3.9770, 3.9780]: 46 t-boxes
beta-box [3.9780, 3.9790]: 46 t-boxes
beta-box [3.9790, 3.9800]: 46 t-boxes
beta-box [3.9800, 3.9810]: 46 t-boxes
beta-box [3.9810, 3.9820]: 46 t-boxes
beta-box [3.9820, 3.9830]: 46 t-boxes
beta-box [3.9830, 3.9840]: 46 t-boxes
beta-box [3.9840, 3.9850]: 46 t-boxes
beta-box [3.9850, 3.9860]: 46 t-boxes
beta-box [3.9860, 3.9870]: 46 t-boxes
beta-box [3.9870, 3.9880]: 46 t-boxes
beta-box [3.9880, 3.9890]: 46 t-boxes
beta-box [3.9890, 3.9900]: 46 t-boxes
beta-box [3.9900, 3.9910]: 46 t-boxes
beta-box [3.9910, 3.9920]: 46 t-boxes
beta-box [3.9920, 3.9930]: 46 t-boxes
beta-box [3.9930, 3.9940]: 46 t-boxes
beta-box [3.9940, 3.9950]: 46 t-boxes
beta-box [3.9950, 3.9960]: 46 t-boxes
beta-box [3.9960, 3.9970]: 46 t-boxes
beta-box [3.9970, 3.9980]: 46 t-boxes
beta-box [3.9980, 3.9990]: 46 t-boxes
beta-box [3.9990, 4.0000]: 47 t-boxes
beta-box [4.0000, 4.0010]: 47 t-boxes
beta-box [4.0010, 4.0020]: 47 t-boxes
beta-box [4.0020, 4.0030]: 47 t-boxes
beta-box [4.0030, 4.0040]: 47 t-boxes
beta-box [4.0040, 4.0050]: 47 t-boxes
beta-box [4.0050, 4.0060]: 47 t-boxes
beta-box [4.0060, 4.0070]: 47 t-boxes
beta-box [4.0070, 4.0080]: 47 t-boxes
beta-box [4.0080, 4.0090]: 47 t-boxes
beta-box [4.0090, 4.0100]: 47 t-boxes
beta-box [4.0100, 4.0110]: 47 t-boxes
beta-box [4.0110, 4.0120]: 47 t-boxes
beta-box [4.0120, 4.0130]: 47 t-boxes
beta-box [4.0130, 4.0140]: 47 t-boxes
beta-box [4.0140, 4.0150]: 47 t-boxes
beta-box [4.0150, 4.0160]: 48 t-boxes
beta-box [4.0160, 4.0170]: 48 t-boxes
beta-box [4.0170, 4.0180]: 48 t-boxes
beta-box [4.0180, 4.0190]: 48 t-boxes
beta-box [4.0190, 4.0200]: 48 t-boxes
beta-box [4.0200, 4.0210]: 48 t-boxes
beta-box [4.0210, 4.0220]: 48 t-boxes
beta-box [4.0220, 4.0230]: 49 t-boxes
beta-box [4.0230, 4.0240]: 49 t-boxes
beta-box [4.0240, 4.0250]: 49 t-boxes
beta-box [4.0250, 4.0260]: 49 t-boxes
beta-box [4.0260, 4.0270]: 49 t-boxes
beta-box [4.0270, 4.0280]: 49 t-boxes
beta-box [4.0280, 4.0290]: 49 t-boxes
beta-box [4.0290, 4.0300]: 49 t-boxes
beta-box [4.0300, 4.0310]: 49 t-boxes
beta-box [4.0310, 4.0320]: 49 t-boxes
beta-box [4.0320, 4.0330]: 49 t-boxes
beta-box [4.0330, 4.0340]: 49 t-boxes
beta-box [4.0340, 4.0350]: 49 t-boxes
beta-box [4.0350, 4.0360]: 49 t-boxes
beta-box [4.0360, 4.0370]: 49 t-boxes
beta-box [4.0370, 4.0380]: 49 t-boxes
beta-box [4.0380, 4.0390]: 49 t-boxes
beta-box [4.0390, 4.0400]: 49 t-boxes
beta-box [4.0400, 4.0410]: 49 t-boxes
beta-box [4.0410, 4.0420]: 49 t-boxes
beta-box [4.0420, 4.0430]: 49 t-boxes
beta-box [4.0430, 4.0440]: 49 t-boxes
beta-box [4.0440, 4.0450]: 49 t-boxes
beta-box [4.0450, 4.0460]: 49 t-boxes
beta-box [4.0460, 4.0470]: 49 t-boxes
beta-box [4.0470, 4.0480]: 49 t-boxes
beta-box [4.0480, 4.0490]: 50 t-boxes
beta-box [4.0490, 4.0500]: 50 t-boxes
beta-box [4.0500, 4.0510]: 50 t-boxes
beta-box [4.0510, 4.0520]: 50 t-boxes
beta-box [4.0520, 4.0530]: 50 t-boxes
beta-box [4.0530, 4.0540]: 50 t-boxes
beta-box [4.0540, 4.0550]: 50 t-boxes
beta-box [4.0550, 4.0560]: 50 t-boxes
beta-box [4.0560, 4.0570]: 50 t-boxes
beta-box [4.0570, 4.0580]: 50 t-boxes
beta-box [4.0580, 4.0590]: 50 t-boxes
beta-box [4.0590, 4.0600]: 50 t-boxes
beta-box [4.0600, 4.0610]: 50 t-boxes
beta-box [4.0610, 4.0620]: 50 t-boxes
beta-box [4.0620, 4.0630]: 50 t-boxes
beta-box [4.0630, 4.0640]: 50 t-boxes
beta-box [4.0640, 4.0650]: 50 t-boxes
beta-box [4.0650, 4.0660]: 50 t-boxes
beta-box [4.0660, 4.0670]: 50 t-boxes
beta-box [4.0670, 4.0680]: 50 t-boxes
beta-box [4.0680, 4.0690]: 50 t-boxes
beta-box [4.0690, 4.0700]: 50 t-boxes
beta-box [4.0700, 4.0710]: 50 t-boxes
beta-box [4.0710, 4.0720]: 50 t-boxes
beta-box [4.0720, 4.0730]: 50 t-boxes
beta-box [4.0730, 4.0740]: 50 t-boxes
